Was the event well organized?,Practical to my needs and interests,Instructor's Knowledge & Presentation Style,Instructor covered material clearly & at the right level,I gained a good understanding of the subject matter,The length of the workshop was appropriate,Overall how would you rate your experience with Certisured.com?,Were there any area which you think that could be improved,Would you like to become an expert in this field?,Would you like to become a part of our Industry Excellence Program and begin your journey towards professional mastery?
Agree,Agree,Excellent,Excellent,Agree,Agree,Very Good,,No,I have different plans
Strongly Agree,Neutral,Excellent,Excellent,Agree,Neutral,Very Good,,No,Not right now
Strongly Agree,Neutral,Excellent,Excellent,Agree,Strongly Agree,Excellent,N/a,Not decided,Not right now
Strongly Agree,Agree,Excellent,Excellent,Agree,Strongly Agree,Excellent,,,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Agree,Excellent,"No , according to me all the aspects for the subject matter were very well covered",Yes,"May be, if I get more information"
Neutral,Disagree,Very Good,Good,Agree,Neutral,Fair,Content Depth,No,Not right now
Strongly Agree,Strongly Agree,Excellent,Excellent,Agree,Agree,Excellent,Nil,Yes,"Yes, and I need more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Agree,Excellent,N.A.,Not decided,Not right now
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,overall the event was well organized and properly implemented by vijay sir.,Not decided,"May be, if I get more information"
Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Agree,Excellent,Time limit,Yes,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Neutral,Excellent,Everything is good,Not decided,"May be, if I get more information"
Agree,Agree,Excellent,Excellent,Agree,Strongly Agree,Excellent,"No , in my opinion everything was well organized.",Not decided,Not right now
Strongly Agree,Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,NO,Yes,"Yes, and I need more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Agree,Excellent,"I have been into courses more costlier and far less effective than yours. It was a total value for money, I would love to join the main course of yours. But yeah there is always a room for improvement I couldn't find one maybe somebody else will. All the best for future.",Yes,"Yes, and I need more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Neutral,Very Good,I want the workshop to be of more than of 15 days because I enjoyed it a lot.,Yes,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Agree,Excellent,nope.,Yes,"Yes, and I need more information"
Agree,Neutral,Good,Very Good,Agree,Agree,Good,More Practical implimentation of concepts taught ,Not decided,"May be, if I get more information"
Agree,Agree,Very Good,Very Good,Agree,Agree,Very Good,No,Yes,"Yes, and I need more information"
Strongly Agree,Agree,Excellent,Excellent,Agree,Agree,Excellent,Maybe asking more regularly questions to the students about past classes would be great to keep everything in mind ,Not decided,"May be, if I get more information"
Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Neutral,Excellent,More time period for the summer school ,Yes,"Yes, and I need more information"
Agree,Agree,Good,Very Good,Agree,Disagree,Good,Workshop duration could be slightly longer so we have time to understand and learn.,Yes,"Yes, and I need more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,No all good,Yes,"Yes, and I need more information"
Agree,Neutral,Good,Fair,Neutral,Strongly Disagree,Need Improvement,"Course was way too fast to understand. And due to which, interest gets hit somewhere and I faced difficulty in coping up",Not decided,Not right now
Strongly Agree,Agree,Excellent,Excellent,Strongly Agree,Neutral,Excellent,Nope ,Not decided,"May be, if I get more information"
Agree,Agree,Excellent,Excellent,Strongly Agree,Neutral,Very Good,Found the number of classes a bit less. Rest all good.,Yes,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,NA,Yes,"Yes, and I need more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Neutral,Excellent,Vijay sir was good at explaining everything. Every class was interactive which was very helpful. a very good experience overall !,Not decided,"May be, if I get more information"
Agree,Agree,Excellent,Very Good,Agree,Neutral,Very Good,The time period of the entire course can be extended a little more so some practice days can be included as well for more hands on knowledge ,Yes,"May be, if I get more information"
Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,"Nothing as of now, everything was good",Yes,"Yes, and I need more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,Nope . Everything was really Great.,Yes,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Agree,Agree,Excellent,None,Not decided,Not right now
Strongly Agree,Strongly Agree,Very Good,Excellent,Agree,Agree,Excellent,nothing according to me,Not decided,I have different plans
Strongly Agree,Agree,Excellent,Excellent,Agree,Agree,Very Good,no comments,Yes,"May be, if I get more information"
Strongly Agree,Agree,Excellent,Very Good,Strongly Agree,Disagree,Excellent,Practicals were lacking. Workshop was focused on theory.,Yes,"Yes, and I need more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Agree,Excellent,Everything was fine,Yes,"May be, if I get more information"
Agree,Strongly Agree,Very Good,Very Good,Agree,Agree,Very Good,nil,Yes,"Yes, and I need more information"
Agree,Neutral,Excellent,Very Good,Agree,Neutral,Very Good,There could have been more of practical/hands-on part,Yes,"Yes, and I need more information"
Agree,Agree,Excellent,Excellent,Agree,Neutral,Very Good,the duration could have been increased,Yes,"Yes, and I need more information"
Strongly Agree,Agree,Excellent,Very Good,Agree,Disagree,Very Good,Duration of the camp can be extended from just 15 days to like 30..for deeper underatanding,Not decided,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,NA,Yes,"May be, if I get more information"
Agree,Agree,Very Good,Excellent,Agree,Agree,Very Good,-,Not decided,Not right now
Agree,Agree,Very Good,Very Good,Agree,Disagree,Very Good,Maybe the platform like could be done on teams or zoom,Yes,"May be, if I get more information"
Agree,Agree,Excellent,Very Good,Neutral,Agree,Very Good,All good,Yes,Not right now
Agree,Agree,Very Good,Very Good,Agree,Agree,Very Good,No,Not decided,Not right now
Agree,Agree,Good,Good,Agree,Agree,Good,Many students were unfamiliar with discord try using Teams,Yes,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Agree,Very Good,Time limit,Yes,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Agree,Excellent,"Classes can be organised at G-meet or microsoft teams. 
",Not decided,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,Nothing All Good,Yes,"Yes, and I need more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Neutral,Very Good,Can be of more than 15 days as I enjoyed it a lot.,Yes,"May be, if I get more information"
Agree,Agree,Excellent,Very Good,Agree,Neutral,Very Good,The time period of the entire course can be extended a little more so some practice days can be included as well for more hands on knowledge ,Yes,"May be, if I get more information"
Agree,Agree,Excellent,Excellent,Agree,Agree,Very Good,-,Yes,Not right now
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Agree,Excellent,Duration should be little long,Yes,"May be, if I get more information"
Agree,Neutral,Fair,Good,Neutral,Neutral,Fair,No,Yes,"Yes, and I need more information"
Agree,Agree,Very Good,Very Good,Agree,Agree,Very Good,No,Yes,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,Yes,Not decided,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Very Good,Agree,Agree,Excellent,Nil,Not decided,"May be, if I get more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,Nope,Yes,"Yes, and I need more information"
Agree,Agree,Excellent,Very Good,Agree,Agree,Very Good,"There is no scope for improvement, that's what it is",Yes,"May be, if I get more information"
Agree,Agree,Good,Very Good,Agree,Agree,Very Good,No,Yes,"Yes, and I need more information"
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,NO,Not decided,Not right now
Agree,Agree,Excellent,Very Good,Agree,Agree,Very Good,No,Not decided,Not right now
Strongly Agree,Strongly Agree,Excellent,Excellent,Strongly Agree,Strongly Agree,Excellent,No,Not decided,"Yes, and I need more information"
